id,createdAt,updatedAt,handle,name,teamId,type,isAssistant
1,2020-11-03 19:17:13.702,2020-11-03 19:17:13.703,202603,Lloyd Pierce,1,Head Coach,1
2,2020-11-03 19:17:13.702,2020-11-03 19:17:13.703,1628770,Matt Hill,1,Assistant Coach,2
3,2020-11-03 19:17:13.703,2020-11-03 19:17:13.704,2607,Chris Jent,1,Assistant Coach,2
4,2020-11-03 19:17:13.704,2020-11-03 19:17:13.705,1628764,Scottie Parker,1,Trainer,3
5,2020-11-03 19:17:13.71,2020-11-03 19:17:13.711,203785,Greg Foster,1,Assistant Coach,2
6,2020-11-03 19:17:13.708,2020-11-03 19:17:13.709,2384,Melvin Hunt,1,Assistant Coach,2
7,2020-11-03 19:17:13.707,2020-11-03 19:17:13.707,1831,Marlon Garnett,1,Assistant Coach,2
8,2020-11-03 19:17:13.726,2020-11-03 19:17:13.727,1630017,John Dusel,1,Assistant Trainer,4
9,2020-11-03 19:17:15.581,2020-11-03 19:17:15.582,1627329,Scott Morrison,2,Assistant Coach,2
10,2020-11-03 19:17:15.581,2020-11-03 19:17:15.581,203535,Brad Stevens,2,Head Coach,1
11,2020-11-03 19:17:15.582,2020-11-03 19:17:15.582,203168,Jay Larranaga,2,Assistant Coach,2
12,2020-11-03 19:17:15.582,2020-11-03 19:17:15.583,202979,Jamie Young,2,Assistant Coach,2
13,2020-11-03 19:17:15.587,2020-11-03 19:17:15.587,1628807,Brandon Bailey,2,Assistant Coach,2
14,2020-11-03 19:17:15.588,2020-11-03 19:17:15.589,1628210,Joe Mazzulla,2,Assistant Coach,2
15,2020-11-03 19:17:15.591,2020-11-03 19:17:15.591,1628765,Art Horne,2,Trainer,3
16,2020-11-03 19:17:15.593,2020-11-03 19:17:15.594,1627590,Jerome Allen,2,Assistant Coach,2
17,2020-11-03 19:17:17.94,2020-11-03 19:17:17.941,959,Steve Nash,3,Head Coach,1
18,2020-11-03 19:17:17.94,2020-11-03 19:17:17.941,1783,Mike D'Antoni,3,Assistant Coach,2
20,2020-11-03 19:17:17.942,2020-11-03 19:17:17.942,1627876,Adam Harrington,3,Assistant Coach,2
