id,createdAt,updatedAt,handle,name,slug,city,abbreviation,logo,wins,losses,winPercentage,conference,division,established,primaryColor,secondaryColor,logoSlug
30,2020-11-03 19:18:10.935,2020-11-03 19:18:10.935,1610612764,Wizards,wizards,Washington,WAS,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/washington-wizards-logo.png,25,47,0.347,East,Southeast,1961,# 002B5C,#E31837,washington-wizards-logo
29,2020-11-03 19:18:09.482,2020-11-03 19:18:09.483,1610612762,Jazz,jazz,Utah,UTA,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/utah-jazz-logo.png,44,28,0.611,West,Northwest,1974,#002B5C,#F9A01B,utah-jazz-logo
24,2020-11-03 19:18:00.913,2020-11-03 19:18:00.913,1610612756,Suns,suns,Phoenix,PHX,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/phoenix-suns-logo.png,34,39,0.466,West,Pacific,1968,#1D1160,#E56020,phoenix-suns-logo
27,2020-11-03 19:18:06.306,2020-11-03 19:18:06.307,1610612759,Spurs,spurs,San Antonio,SAS,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/san-antonio-spurs-logo.png,32,39,0.451,West,Southwest,1976,#C4CED4,#000000,san-antonio-spurs-logo
16,2020-11-03 19:17:43.929,2020-11-03 19:17:43.93,1610612748,Heat,heat,Miami,MIA,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/miami-heat-logo.png,44,29,0.603,East,Southeast,1988,#98002E,#000000,miami-heat-logo
26,2020-11-03 19:18:04.693,2020-11-03 19:18:04.693,1610612758,Kings,kings,Sacramento,SAC,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/sacramento-kings-logo.png,31,41,0.431,West,Pacific,1948,#5A2D81,#63727A,sacramento-kings-logo
15,2020-11-03 19:17:42.511,2020-11-03 19:17:42.512,1610612763,Grizzlies,grizzlies,Memphis,MEM,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/memphis-grizzlies-logo.png,34,39,0.466,West,Southwest,1995,#5D76A9,#12173F,memphis-grizzlies-logo
21,2020-11-03 19:17:55.754,2020-11-03 19:17:55.755,1610612760,Thunder,thunder,Oklahoma City,OKC,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/oklahoma-city-thunder-logo.png,44,28,0.611,West,Northwest,1967,#007AC1,#EF3B24,oklahoma-city-thunder-logo
7,2020-11-03 19:17:26.866,2020-11-03 19:17:26.867,1610612742,Mavericks,mavericks,Dallas,DAL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/dallas-mavericks-logo.png,43,32,0.573,West,Southwest,1980,#00538C,#B8C4CA,dallas-mavericks-logo
20,2020-11-03 19:17:53.761,2020-11-03 19:17:53.761,1610612752,Knicks,knicks,New York,NYK,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/new-york-knicks-logo.png,21,45,0.318,East,Atlantic,1946,#006BB6,#F58426,new-york-knicks-logo
13,2020-11-03 19:17:38.262,2020-11-03 19:17:38.262,1610612746,Clippers,clippers,Los Angeles,LAC,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/los-angeles-clippers-logo.png,49,23,0.681,West,Pacific,1970,#C8102E,#1D428A,los-angeles-clippers-logo
19,2020-11-03 19:17:51.797,2020-11-03 19:17:51.798,1610612740,Pelicans,pelicans,New Orleans,NOP,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/new-orleans-pelicans-logo.png,30,42,0.417,West,Southwest,2002,#0C2340,#C8102E,new-orleans-pelicans-logo
8,2020-11-03 19:17:28.724,2020-11-03 19:17:28.724,1610612743,Nuggets,nuggets,Denver,DEN,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/denver-nuggets-logo.png,46,27,0.63,West,Northwest,1976,#0E2240,#FEC524,denver-nuggets-logo
12,2020-11-03 19:17:36.466,2020-11-03 19:17:36.466,1610612754,Pacers,pacers,Indiana,IND,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/indiana-pacers-logo.png,45,28,0.616,East,Central,1976,#002D62,#FDBB30,indiana-pacers-logo
